# Device Information: 
# Manufacturer:LGE
# Model: Nexus 4
# API-level: 21
# LGE Accelerometer Sensor: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 1
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 2
# Orientation: 
#     Resolution: 0.1
#     Minimal Delay: 5000
#     Sensor Type: 3
# LGE Proximity Sensor: 
#     Resolution: 0.10070801
#     Minimal Delay: 50000
#     Sensor Type: 8
# LGE Light Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 50000
#     Sensor Type: 5
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 4
# LGE Barometer Sensor: 
#     Resolution: 0.009994507
#     Minimal Delay: 33333
#     Sensor Type: 6
# LGE Magnetometer Sensor: 
#     Resolution: 0.14953613
#     Minimal Delay: 20000
#     Sensor Type: 14
# LGE Gyroscope Sensor: 
#     Resolution: 0.0010681152
#     Minimal Delay: 5000
#     Sensor Type: 16
# Gravity: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 9
# Linear Acceleration: 
#     Resolution: 0.0011901855
#     Minimal Delay: 5000
#     Sensor Type: 10
# Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 11
# Significant Motion: 
#     Resolution: 1.0
#     Minimal Delay: -1
#     Sensor Type: 17
# Game Rotation Vector: 
#     Resolution: 5.9604645E-8
#     Minimal Delay: 5000
#     Sensor Type: 15
# sample; timestamp; type; accuracy; data1; ...; dataN
#------------------------------------------------------------------
90; 1419887327197650624; 10; 3; -0.083766; 0.085856; -0.101039
91; 1419887327202686024; 10; 3; -0.038272; 0.010589; -0.179713
92; 1419887327207721424; 10; 3; -0.050574; 0.046903; -0.089348
93; 1419887327212756825; 10; 3; -0.134140; 0.058188; -0.094296
94; 1419887327217792225; 10; 3; -0.237583; 0.064717; -0.026296
95; 1419887327222858143; 10; 3; -0.364566; 0.116027; 0.025547
96; 1419887327227863026; 10; 3; -0.461176; 0.216365; -0.046944
97; 1419887327232867909; 10; 3; -0.677743; 0.267482; -0.021061
98; 1419887327237933827; 10; 3; -0.746071; 0.306435; -0.032162
99; 1419887327242969227; 10; 3; -0.719762; 0.275628; -0.000967
100; 1419887327248004628; 10; 3; -0.696552; 0.232294; 0.040312
101; 1419887327253040028; 10; 3; -0.519562; 0.204806; 0.165887
102; 1419887327258075428; 10; 3; -0.310230; 0.163544; 0.195802
103; 1419887327263110829; 10; 3; 0.017595; 0.035439; 0.144128
104; 1419887327268146229; 10; 3; 0.097740; -0.062064; 0.202760
105; 1419887327273181630; 10; 3; 0.397359; -0.183545; 0.073623
106; 1419887327278217030; 10; 3; 0.598895; -0.190891; 0.141758
107; 1419887327283252430; 10; 3; 0.802842; -0.198332; 0.119944
108; 1419887327288257313; 10; 3; 0.841116; -0.212920; 0.086788
109; 1419887327293323231; 10; 3; 0.816985; -0.252316; -0.020078
110; 1419887327298358631; 10; 3; 0.714760; -0.190074; -0.084466
111; 1419887327303394032; 10; 3; 0.624837; -0.145021; -0.141024
112; 1419887327308429432; 10; 3; 0.420779; -0.171271; -0.069496
113; 1419887327313464833; 10; 3; 0.011330; -0.163188; -0.006692
114; 1419887327318500233; 10; 3; -0.276604; 0.047721; -0.006901
115; 1419887327323535633; 10; 3; -0.524960; 0.184919; -0.054433
116; 1419887327328571034; 10; 3; -0.710983; 0.278624; -0.034536
117; 1419887327333606434; 10; 3; -0.833548; 0.258425; 0.205604
118; 1419887327338641835; 10; 3; -0.846902; 0.197183; 0.182783
119; 1419887327343677235; 10; 3; -0.778559; 0.191894; 0.206272
120; 1419887327348712635; 10; 3; -0.713109; 0.223183; 0.116380
121; 1419887327353845958; 10; 3; -0.607838; 0.209368; 0.166526
122; 1419887327358881358; 10; 3; -0.562055; 0.208729; 0.137057
123; 1419887327363916759; 10; 3; -0.552509; 0.223538; 0.152554
124; 1419887327368952159; 10; 3; -0.654020; 0.270126; 0.102995
125; 1419887327374018077; 10; 3; -0.667102; 0.374027; 0.156925
126; 1419887327379022960; 10; 3; -0.462043; 0.366967; 0.025677
127; 1419887327384058360; 10; 3; -0.365237; 0.318204; 0.078131
128; 1419887327389063243; 10; 3; -0.296330; 0.176050; -0.033094
129; 1419887327394129161; 10; 3; -0.205529; 0.186910; -0.122575
130; 1419887327399164561; 10; 3; -0.073878; 0.092299; -0.242758
131; 1419887327404199962; 10; 3; 0.115902; 0.060935; -0.269755
132; 1419887327409235362; 10; 3; 0.234533; -0.008968; -0.373688
133; 1419887327414270762; 10; 3; 0.313296; -0.068462; -0.390215
134; 1419887327419306163; 10; 3; 0.367980; -0.092625; -0.365229
135; 1419887327424341563; 10; 3; 0.361050; 0.005788; -0.310985
136; 1419887327429376964; 10; 3; 0.351866; 0.013214; -0.256041
137; 1419887327434412364; 10; 3; 0.360522; 0.044859; -0.182546
